lat,lon,name,admin1,admin2,cc,country
42.57688,1.66769,Soldeu,Canillo,,AD,Andorra
42.57952,1.65362,El Tarter,Canillo,,AD,Andorra
42.46372,1.49129,Sant Julia de Loria,Sant Julia de Loria,,AD,Andorra
42.54277,1.73361,Pas de la Casa,Encamp,,AD,Andorra
42.55623,1.53319,Ordino,Ordino,,AD,Andorra
42.50729,1.53414,les Escaldes,Escaldes-Engordany,,AD,Andorra
42.54499,1.51483,la Massana,La Massana,,AD,Andorra
42.54391,1.52289,l'Aldosa,La Massana,,AD,Andorra
42.53474,1.58014,Encamp,Encamp,,AD,Andorra
42.5676,1.59756,Canillo,Canillo,,AD,Andorra
42.57205,1.48453,Arinsal,La Massana,,AD,Andorra
42.50779,1.52109,Andorra la Vella,Andorra la Vella,,AD,Andorra
25.56473,55.55517,Umm Al Quwain City,Imarat Umm al Qaywayn,,AE,United Arab Emirates
25.78953,55.9432,Ras Al Khaimah City,Imarat Ra's al Khaymah,,AE,United Arab Emirates
23.14355,53.7881,Muzayri`,Abu Dhabi,,AE,United Arab Emirates
25.27623,56.36256,Murbah,Sharjah,,AE,United Arab Emirates
23.65416,53.70522,Zayed City,Abu Dhabi,Al Dhafra,AE,United Arab Emirates
25.33132,56.34199,Khawr Fakkan,Sharjah,,AE,United Arab Emirates
25.07725,55.30927,Dubai,Dubai,,AE,United Arab Emirates
25.59246,56.26176,Dibba Al-Fujairah,Fujairah,,AE,United Arab Emirates
25.61955,56.27291,Dibba Al-Hisn,Fujairah,,AE,United Arab Emirates
25.33737,55.41206,Sharjah,Sharjah,,AE,United Arab Emirates
24.11028,52.73056,Ar Ruways,Abu Dhabi,,AE,United Arab Emirates
25.11641,56.34141,Al Fujairah City,Fujairah,,AE,United Arab Emirates
24.19167,55.76056,Al Ain City,Abu Dhabi,,AE,United Arab Emirates
25.40177,55.47878,Ajman City,Ajman,,AE,United Arab Emirates
25.28812,55.88157,Adh Dhayd,Sharjah,,AE,United Arab Emirates
24.45118,54.39696,Abu Dhabi,Abu Dhabi,,AE,United Arab Emirates
24.42588,54.605,Khalifah A City,Abu Dhabi,,AE,United Arab Emirates
24.30978,54.62944,Bani Yas City,Abu Dhabi,,AE,United Arab Emirates
24.35893,54.48267,Musaffah,Abu Dhabi,,AE,United Arab Emirates
24.39268,54.70779,Al Shamkhah City,Abu Dhabi,,AE,United Arab Emirates
25.14479,56.24764,Reef Al Fujairah City,Fujairah,,AE,United Arab Emirates
33.54149,69.73446,Zor Kot,Khowst,Musa Khel,AF,Afghanistan
34.3436,67.90567,Wuleswali Bihsud,Vardak,Markazi Bihsud,AF,Afghanistan
34.65389,61.19778,Kuhsan,Herat,Kuhsan,AF,Afghanistan
35.3782,64.77457,Lash,Faryab,Kohistan,AF,Afghanistan
35.94831,66.42132,Tukzar,Sar-e Pol,Sangcharak,AF,Afghanistan
34.24348,70.72855,Bati,Nangarhar,Bati Kot,AF,Afghanistan
33.32462,68.44068,Miray,Ghazni,Andar,AF,Afghanistan
36.08352,66.84029,Aq Kupruk,Balkh,Kishindeh,AF,Afghanistan
33.43778,69.02774,Zurmat,Paktia,Zurmat,AF,Afghanistan
36.52947,71.3441,Zaybak,Badakhshan,Zaybak,AF,Afghanistan
31.9848,65.4736,Ziarat-e Shah Maqsud,Kandahar,Khakrez,AF,Afghanistan
34.34264,61.74675,Zindah Jan,Herat,Zindah Jan,AF,Afghanistan
32.84734,68.44573,Zarghun Shahr,Paktika,Zarghun Shahr,AF,Afghanistan
33.14641,68.79213,Zarah Sharan,Paktika,Sharan,AF,Afghanistan
30.95962,61.86037,Zaranj,Nimroz,Zaranj,AF,Afghanistan
32.3726,66.17708,Zamto Kelay,Kandahar,Mya Neshin,AF,Afghanistan
37.46572,69.61131,Yangi Qal'ah,Takhar,Yangi Qal'ah,AF,Afghanistan
